index,constituency_name,first_party,second_party,majority,electorate,percentage victory
406,North East Fife,SNP,LD,2,58685,0.0%
306,Kensington,Lab,Con,20,60588,0.0%
444,Perth and North Perthshire,SNP,Con,21,71762,0.0%
176,Dudley North,Lab,Con,22,62043,0.0%
383,Newcastle-Under-Lyme,Lab,Con,30,65596,0.0%
505,"Southampton, Itchen",Con,Lab,31,71722,0.0%
465,Richmond Park,Con,LD,45,80025,0.1%
155,Crewe and Nantwich,Lab,Con,48,78895,0.1%
243,Glasgow South West,SNP,Lab,60,62991,0.1%
238,Glasgow East,SNP,Lab,75,66242,0.1%
11,Arfon,PC,Lab,92,41367,0.2%
123,Ceredigion,PC,LD,104,54262,0.2%
542,Stirling,Con,SNP,148,66415,0.2%
230,Foyle,SF,SDLP,169,70324,0.2%
110,Canterbury,Lab,Con,187,78182,0.2%
4,Airdrie and Shotts,SNP,Lab,195,64146,0.3%
24,Barrow and Furness,Lab,Con,209,69474,0.3%
304,Keighley,Lab,Con,239,71429,0.3%
240,Glasgow North East,Lab,SNP,242,59931,0.4%
314,Kirkcaldy and Cowdenbeath,Lab,SNP,259,72721,0.4%
480,Rutherglen and Hamilton West,Lab,SNP,265,80098,0.3%
317,Lanark and Hamilton East,SNP,Con,266,77313,0.3%
543,St Ives,Con,LD,312,67145,0.5%
453,Preseli Pembrokeshire,Con,Lab,314,58554,0.5%
378,Motherwell and Wishaw,SNP,Lab,318,68215,0.5%
455,Pudsey,Con,Lab,331,72622,0.5%
573,Thurrock,Con,Lab,345,78154,0.4%
270,Hastings and Rye,Con,Lab,346,78319,0.4%
135,Chipping Barnet,Con,Lab,353,77218,0.5%
296,Inverclyde,SNP,Lab,384,58853,0.7%
14,Ashfield,Lab,Con,441,78076,0.6%
55,Bishop Auckland,Lab,Con,502,67661,0.7%
424,Norwich North,Con,Lab,507,66924,0.8%
445,Peterborough,Lab,Con,607,71522,0.8%
105,Calder Valley,Con,Lab,609,79045,0.8%
1,Aberconwy,Con,Lab,635,45251,1.4%
549,Stoke-On-Trent South,Con,Lab,663,66057,1.0%
556,Stroud,Lab,Con,687,82839,0.8%
567,Telford,Con,Lab,720,68106,1.1%
619,Westmorland and Lonsdale,LD,Con,777,66391,1.2%
33,Bedford,Lab,Con,789,71829,1.1%
394,Northampton North,Con,Lab,807,58861,1.4%
438,Oxford West and Abingdon,LD,Con,816,75574,1.1%
298,Ipswich,Lab,Con,831,75668,1.1%
183,Dunfermline and West Fife,SNP,Lab,844,75672,1.1%
96,Broxtowe,Con,Lab,863,74013,1.2%
225,Fermanagh and South Tyrone,SF,UUP,875,70601,1.2%
364,Midlothian,Lab,SNP,885,68328,1.3%
546,Stockton South,Lab,Con,888,75625,1.2%
147,Colne Valley,Lab,Con,915,84387,1.1%
67,Bolton West,Con,Lab,936,72797,1.3%
379,Na h-Eileanan An Iar,SNP,Lab,1007,21301,4.7%
362,Middlesbrough South and East Cleveland,Con,Lab,1020,72336,1.4%
355,Mansfield,Con,Lab,1057,77811,1.4%
239,Glasgow North,SNP,Lab,1060,53862,2.0%
276,Hendon,Con,Lab,1072,76522,1.4%
207,Edinburgh South West,SNP,Con,1097,71178,1.5%
395,Northampton South,Con,Lab,1159,61766,1.9%
601,Warwick and Leamington,Lab,Con,1206,74237,1.6%
401,North Down,Ind,DUP,1208,64334,1.9%
120,Central Ayrshire,SNP,Con,1267,68999,1.8%
441,Pendle,Con,Lab,1279,64962,2.0%
442,Penistone and Stocksbridge,Lab,Con,1322,71293,1.9%
12,Argyll and Bute,SNP,Con,1328,67230,2.0%
118,Carshalton and Wallington,LD,Con,1369,70849,1.9%
376,Morecambe and Lunesdale,Con,Lab,1399,66818,2.1%
334,Lincoln,Lab,Con,1538,73111,2.1%
456,Putney,Con,Lab,1554,65031,2.4%
452,Portsmouth South,Lab,Con,1554,69785,2.2%
107,Camborne and Redruth,Con,Lab,1577,68419,2.3%
145,"Coatbridge, Chryston and Bellshill",Lab,SNP,1586,71198,2.2%
190,Eastbourne,LD,Con,1609,78754,2.0%
205,Edinburgh North and Leith,SNP,Lab,1625,79473,2.0%
227,Finchley and Golders Green,Con,Lab,1657,73329,2.3%
370,Milton Keynes South,Con,Lab,1665,92417,1.8%
149,Copeland,Con,Lab,1695,61751,2.7%
266,Harrow East,Con,Lab,1757,71755,2.4%
641,Wrexham,Lab,Con,1832,49881,3.7%
369,Milton Keynes North,Con,Lab,1975,89207,2.2%
36,Belfast South,DUP,SDLP,1996,66105,3.0%
167,Derby North,Lab,Con,2015,69919,2.9%
58,Blackpool North and Cleveleys,Con,Lab,2023,63967,3.2%
242,Glasgow South,SNP,Lab,2027,69126,2.9%
104,"Caithness, Sutherland and Easter Ross",LD,SNP,2044,46868,4.4%
35,Belfast North,DUP,SF,2081,68249,3.0%
603,Watford,Con,Lab,2092,86507,2.4%
377,Morley and Outwood,Con,Lab,2104,76495,2.8%
493,"Sheffield, Hallam",Lab,LD,2125,73455,2.9%
591,Wakefield,Lab,Con,2176,70340,3.1%
636,Wolverhampton South West,Lab,Con,2185,59971,3.6%
589,Vale Of Glamorgan,Con,Lab,2190,73959,3.0%
237,Glasgow Central,SNP,Lab,2267,64346,3.5%
615,West Dunbartonshire,SNP,Lab,2288,67602,3.4%
283,High Peak,Lab,Con,2322,73248,3.2%
548,Stoke-On-Trent North,Lab,Con,2359,71558,3.3%
588,Vale Of Clwyd,Lab,Con,2379,56890,4.2%
30,Battersea,Lab,Con,2416,77574,3.1%
133,Chingford and Woodford Green,Con,Lab,2438,65958,3.7%
512,South Down,SF,SDLP,2446,75685,3.2%
154,Crawley,Con,Lab,2457,73425,3.3%
525,South Swindon,Con,Lab,2464,72372,3.4%
637,Worcester,Con,Lab,2508,73893,3.4%
59,Blackpool South,Lab,Con,2523,58470,4.3%
440,Paisley and Renfrewshire South,SNP,Lab,2541,61344,4.1%
600,Warrington South,Lab,Con,2549,85617,3.0%
241,Glasgow North West,SNP,Lab,2561,63773,4.0%
251,Great Grimsby,Lab,Con,2565,61743,4.2%
