ons_id,CONSTITUENCY,YEAR,LABEL (WINNER),CURRENT HOLDING PARTY,CURRENT MAJORITY,PREVIOUS HOLDING PARTY,LABOUR MAJORITY,CONSERVATIVE MAJORITY,SNP MAJORITY,LIB DEMS MAJORITY,DUP MAJORITY,COUNTY,REGION,COUNTRY,CONSTITUENCY_TYPE
W07000049,Aberavon,2017,Lab,Lab,10445,Lab,10445,0,0,0,0,West Glamorgan,Wales,Wales,County
W07000058,Aberconwy,2017,Con,Con,3999,Con,0,3999,0,0,0,Clwyd,Wales,Wales,County
S14000001,Aberdeen North,2017,SNP,SNP,13396,Lab,0,0,13396,0,0,Scotland,Scotland,Scotland,Borough
S14000002,Aberdeen South,2017,Con,SNP,7230,Lab,0,0,7230,0,0,Scotland,Scotland,Scotland,Borough
S14000003,Airdrie and Shotts,2017,SNP,SNP,8779,Lab,0,0,8779,0,0,Scotland,Scotland,Scotland,County
E14000530,Aldershot,2017,Con,Con,14901,Con,0,14901,0,0,0,Hampshire,South East,England,Borough
E14000531,Aldridge-Brownhills,2017,Con,Con,11723,Con,0,11723,0,0,0,West Midlands,West Midlands,England,Borough
E14000532,Altrincham and Sale West,2017,Con,Con,13290,Con,0,13290,0,0,0,Greater Manchester,North West,England,Borough
W07000043,Alyn and Deeside,2017,Lab,Lab,3343,Lab,3343,0,0,0,0,Clwyd,Wales,Wales,County
E14000533,Amber Valley,2017,Con,Con,4205,Con,0,4205,0,0,0,Derbyshire,East Midlands,England,County
S14000004,Angus,2017,Con,SNP,11230,SNP,0,0,11230,0,0,Scotland,Scotland,Scotland,County
W07000057,Arfon,2017,PC,PC,3668,PC,0,0,0,0,0,Gwynedd,Wales,Wales,County
S14000005,Argyll and Bute,2017,SNP,SNP,8473,LD,0,0,8473,0,0,Scotland,Scotland,Scotland,County
E14000534,Arundel and South Downs,2017,Con,Con,26177,Con,0,26177,0,0,0,West Sussex,South East,England,County
E14000535,Ashfield,2017,Lab,Lab,8820,Lab,8820,0,0,0,0,Nottinghamshire,East Midlands,England,County
E14000536,Ashford,2017,Con,Con,19296,Con,0,19296,0,0,0,Kent,South East,England,County
E14000537,Ashton-Under-Lyne,2017,Lab,Lab,10756,Lab,10756,0,0,0,0,Greater Manchester,North West,England,Borough
E14000538,Aylesbury,2017,Con,Con,17158,Con,0,17158,0,0,0,Buckinghamshire,South East,England,County
S14000006,"Ayr, Carrick and Cumnock",2017,Con,SNP,11265,Lab,0,0,11265,0,0,Scotland,Scotland,Scotland,County
E14000539,Banbury,2017,Con,Con,18395,Con,0,18395,0,0,0,Oxfordshire,South East,England,County
S14000007,Banff and Buchan,2017,Con,SNP,14339,SNP,0,0,14339,0,0,Scotland,Scotland,Scotland,County
E14000540,Barking,2017,Lab,Lab,15272,Lab,15272,0,0,0,0,London,London,England,Borough
E14000541,Barnsley Central,2017,Lab,Lab,12435,Lab,12435,0,0,0,0,South Yorkshire,Yorkshire and The Humber,England,Borough
E14000542,Barnsley East,2017,Lab,Lab,12034,Lab,12034,0,0,0,0,South Yorkshire,Yorkshire and The Humber,England,County
E14000543,Barrow and Furness,2017,Lab,Lab,795,Lab,795,0,0,0,0,Cumbria,North West,England,County
E14000544,Basildon and Billericay,2017,Con,Con,12482,Con,0,12482,0,0,0,Essex,East,England,Borough
E14000545,Basingstoke,2017,Con,Con,11063,Con,0,11063,0,0,0,Hampshire,South East,England,Borough
E14000546,Bassetlaw,2017,Lab,Lab,8843,Lab,8843,0,0,0,0,Nottinghamshire,East Midlands,England,County
E14000547,Bath,2017,LD,Con,3833,LD,0,3833,0,0,0,Avon,South West,England,Borough
E14000548,Batley and Spen,2017,Lab,Lab,6057,Lab,6057,0,0,0,0,West Yorkshire,Yorkshire and The Humber,England,Borough
E14000549,Battersea,2017,Lab,Con,7938,Con,0,7938,0,0,0,London,London,England,Borough
E14000550,Beaconsfield,2017,Con,Con,26311,Con,0,26311,0,0,0,Buckinghamshire,South East,England,County
E14000551,Beckenham,2017,Con,Con,18471,Con,0,18471,0,0,0,London,London,England,Borough
E14000552,Bedford,2017,Lab,Con,1097,Con,0,1097,0,0,0,Bedfordshire,East,England,Borough
N06000001,Belfast East,2017,DUP,DUP,2597,Alliance,0,0,0,0,2597,Northern Ireland,Northern Ireland,Northern Ireland,Borough
N06000002,Belfast North,2017,DUP,DUP,5326,DUP,0,0,0,0,5326,Northern Ireland,Northern Ireland,Northern Ireland,Borough
N06000003,Belfast South,2017,DUP,SDLP,906,SDLP,0,0,0,0,0,Northern Ireland,Northern Ireland,Northern Ireland,Borough
N06000004,Belfast West,2017,SF,SF,12365,SF,0,0,0,0,0,Northern Ireland,Northern Ireland,Northern Ireland,Borough
E14000553,Bermondsey and Old Southwark,2017,Lab,Lab,4489,LD,4489,0,0,0,0,London,London,England,Borough
S14000008,"Berwickshire, Roxburgh and Selkirk",2017,Con,SNP,328,LD,0,0,328,0,0,Scotland,Scotland,Scotland,County
E14000554,Berwick-Upon-Tweed,2017,Con,Con,4914,LD,0,4914,0,0,0,Northumberland,North East,England,County
E14000555,Bethnal Green and Bow,2017,Lab,Lab,24317,Lab,24317,0,0,0,0,London,London,England,Borough
E14000556,Beverley and Holderness,2017,Con,Con,12203,Con,0,12203,0,0,0,Humberside,Yorkshire and The Humber,England,County
E14000557,Bexhill and Battle,2017,Con,Con,20075,Con,0,20075,0,0,0,East Sussex,South East,England,County
E14000558,Bexleyheath and Crayford,2017,Con,Con,9192,Con,0,9192,0,0,0,London,London,England,Borough
E14000559,Birkenhead,2017,Lab,Lab,20652,Lab,20652,0,0,0,0,Merseyside,North West,England,Borough
E14000560,"Birmingham, Edgbaston",2017,Lab,Lab,2706,Lab,2706,0,0,0,0,West Midlands,West Midlands,England,Borough
E14000561,"Birmingham, Erdington",2017,Lab,Lab,5129,Lab,5129,0,0,0,0,West Midlands,West Midlands,England,Borough
E14000562,"Birmingham, Hall Green",2017,Lab,Lab,19818,Lab,19818,0,0,0,0,West Midlands,West Midlands,England,Borough
E14000563,"Birmingham, Hodge Hill",2017,Lab,Lab,23362,Lab,23362,0,0,0,0,West Midlands,West Midlands,England,Borough
E14000564,"Birmingham, Ladywood",2017,Lab,Lab,21868,Lab,21868,0,0,0,0,West Midlands,West Midlands,England,Borough
E14000565,"Birmingham, Northfield",2017,Lab,Lab,2509,Lab,2509,0,0,0,0,West Midlands,West Midlands,England,Borough
E14000566,"Birmingham, Perry Barr",2017,Lab,Lab,14828,Lab,14828,0,0,0,0,West Midlands,West Midlands,England,Borough
E14000567,"Birmingham, Selly Oak",2017,Lab,Lab,8447,Lab,8447,0,0,0,0,West Midlands,West Midlands,England,Borough
E14000568,"Birmingham, Yardley",2017,Lab,Lab,6595,LD,6595,0,0,0,0,West Midlands,West Midlands,England,Borough
E14000569,Bishop Auckland,2017,Lab,Lab,3508,Lab,3508,0,0,0,0,Durham,North East,England,County
E14000570,Blackburn,2017,Lab,Lab,12760,Lab,12760,0,0,0,0,Lancashire,North West,England,Borough
E14000571,Blackley and Broughton,2017,Lab,Lab,16874,Lab,16874,0,0,0,0,Greater Manchester,North West,England,Borough
E14000572,Blackpool North and Cleveleys,2017,Con,Con,3340,Con,0,3340,0,0,0,Lancashire,North West,England,Borough
E14000573,Blackpool South,2017,Lab,Lab,2585,Lab,2585,0,0,0,0,Lancashire,North West,England,Borough
W07000072,Blaenau Gwent,2017,Lab,Lab,12703,Lab,12703,0,0,0,0,Gwent and Mid Glamorgan,Wales,Wales,County
E14000574,Blaydon,2017,Lab,Lab,14227,Lab,14227,0,0,0,0,Tyne and Wear,North East,England,Borough
E14000575,Blyth Valley,2017,Lab,Lab,9229,Lab,9229,0,0,0,0,Northumberland,North East,England,Borough
E14000576,Bognor Regis and Littlehampton,2017,Con,Con,13944,Con,0,13944,0,0,0,West Sussex,South East,England,County
E14000577,Bolsover,2017,Lab,Lab,11778,Lab,11778,0,0,0,0,Derbyshire,East Midlands,England,County
E14000578,Bolton North East,2017,Lab,Lab,4377,Lab,4377,0,0,0,0,Greater Manchester,North West,England,Borough
E14000579,Bolton South East,2017,Lab,Lab,10928,Lab,10928,0,0,0,0,Greater Manchester,North West,England,Borough
E14000580,Bolton West,2017,Con,Con,801,Lab,0,801,0,0,0,Greater Manchester,North West,England,County
E14000581,Bootle,2017,Lab,Lab,28704,Lab,28704,0,0,0,0,Merseyside,North West,England,Borough
E14000582,Boston and Skegness,2017,Con,Con,4336,Con,0,4336,0,0,0,Lincolnshire,East Midlands,England,County
E14000583,Bosworth,2017,Con,Con,10988,Con,0,10988,0,0,0,Leicestershire,East Midlands,England,County
E14000584,Bournemouth East,2017,Con,Con,14612,Con,0,14612,0,0,0,Dorset,South West,England,Borough
E14000585,Bournemouth West,2017,Con,Con,12410,Con,0,12410,0,0,0,Dorset,South West,England,Borough
E14000586,Bracknell,2017,Con,Con,20650,Con,0,20650,0,0,0,Berkshire,South East,England,County
E14000587,Bradford East,2017,Lab,Lab,7084,LD,7084,0,0,0,0,West Yorkshire,Yorkshire and The Humber,England,Borough
E14000588,Bradford South,2017,Lab,Lab,6450,Lab,6450,0,0,0,0,West Yorkshire,Yorkshire and The Humber,England,Borough
E14000589,Bradford West,2017,Lab,Lab,11420,Lab,11420,0,0,0,0,West Yorkshire,Yorkshire and The Humber,England,Borough
E14000590,Braintree,2017,Con,Con,17610,Con,0,17610,0,0,0,Essex,East,England,County
W07000068,Brecon and Radnorshire,2017,Con,Con,5102,LD,0,5102,0,0,0,Powys,Wales,Wales,County
E14000591,Brent Central,2017,Lab,Lab,19649,LD,19649,0,0,0,0,London,London,England,Borough
E14000593,Brentford and Isleworth,2017,Lab,Lab,465,Con,465,0,0,0,0,London,London,England,Borough
E14000592,Brent North,2017,Lab,Lab,10834,Lab,10834,0,0,0,0,London,London,England,Borough
E14000594,Brentwood and Ongar,2017,Con,Con,21810,Con,0,21810,0,0,0,Essex,East,England,County
W07000073,Bridgend,2017,Lab,Lab,1927,Lab,1927,0,0,0,0,Gwent and Mid Glamorgan,Wales,Wales,County
E14000595,Bridgwater and West Somerset,2017,Con,Con,14583,Con,0,14583,0,0,0,Somerset,South West,England,County
E14000596,Brigg and Goole,2017,Con,Con,11176,Con,0,11176,0,0,0,Humberside,Yorkshire and The Humber,England,County
E14000597,"Brighton, Kemptown",2017,Lab,Con,690,Con,0,690,0,0,0,East Sussex,South East,England,Borough
E14000598,"Brighton, Pavilion",2017,Green,Green,7967,Green,0,0,0,0,0,East Sussex,South East,England,Borough
E14000599,Bristol East,2017,Lab,Lab,3980,Lab,3980,0,0,0,0,Avon,South West,England,Borough
E14000600,Bristol North West,2017,Lab,Con,4944,Con,0,4944,0,0,0,Avon,South West,England,Borough
E14000601,Bristol South,2017,Lab,Lab,7128,Lab,7128,0,0,0,0,Avon,South West,England,Borough
E14000602,Bristol West,2017,Lab,Lab,5673,LD,5673,0,0,0,0,Avon,South West,England,Borough
E14000603,Broadland,2017,Con,Con,16838,Con,0,16838,0,0,0,Norfolk,East,England,County
E14000604,Bromley and Chislehurst,2017,Con,Con,13564,Con,0,13564,0,0,0,London,London,England,Borough
E14000605,Bromsgrove,2017,Con,Con,16529,Con,0,16529,0,0,0,Hereford and Worcester,West Midlands,England,County
E14000606,Broxbourne,2017,Con,Con,16723,Con,0,16723,0,0,0,Hertfordshire,East,England,Borough
E14000607,Broxtowe,2017,Con,Con,4287,Con,0,4287,0,0,0,Nottinghamshire,East Midlands,England,County
E14000608,Buckingham,2017,Spk,Spk,22942,Spk,0,0,0,0,0,Buckinghamshire,South East,England,County
E14000609,Burnley,2017,Lab,Lab,3244,LD,3244,0,0,0,0,Lancashire,North West,England,Borough
E14000610,Burton,2017,Con,Con,10892,Con,0,10892,0,0,0,Staffordshire,West Midlands,England,County
E14000611,Bury North,2017,Lab,Con,378,Con,0,378,0,0,0,Greater Manchester,North West,England,Borough
E14000612,Bury South,2017,Lab,Lab,4922,Lab,4922,0,0,0,0,Greater Manchester,North West,England,Borough
E14000613,Bury St Edmunds,2017,Con,Con,21301,Con,0,21301,0,0,0,Suffolk,East,England,County
W07000076,Caerphilly,2017,Lab,Lab,10073,Lab,10073,0,0,0,0,Gwent and Mid Glamorgan,Wales,Wales,County
S14000009,"Caithness, Sutherland and Easter Ross",2017,LD,SNP,3844,LD,0,0,3844,0,0,Scotland,Scotland,Scotland,County
E14000614,Calder Valley,2017,Con,Con,4427,Con,0,4427,0,0,0,West Yorkshire,Yorkshire and The Humber,England,County
E14000615,Camberwell and Peckham,2017,Lab,Lab,25824,Lab,25824,0,0,0,0,London,London,England,Borough
E14000616,Camborne and Redruth,2017,Con,Con,7004,Con,0,7004,0,0,0,Cornwall,South West,England,County
E14000617,Cambridge,2017,Lab,Lab,599,LD,599,0,0,0,0,Cambridgeshire,East,England,Borough
